test_season,target,model,method,n,accuracy,brier,log_loss
2024,home_win,hgb_reg,simulate,272,0.6801470588235294,0.21811855558823529,0.628245004255683
2024,home_covers,hgb_reg,simulate,268,0.5186567164179104,0.2620062989925373,0.7205473444148542
2024,home_win,hgb_reg,normal_cdf,272,0.6654411764705882,0.2190249939795635,0.6298498199437015
2024,home_covers,hgb_reg,normal_cdf,268,0.5149253731343284,0.25975779229843743,0.7152784718619899
2024,home_win,lin_reg,simulate,272,0.7022058823529411,0.2080035475735294,0.6073760947142238
2024,home_covers,lin_reg,simulate,268,0.5261194029850746,0.25721739570895524,0.7094844730297184
2024,home_win,lin_reg,normal_cdf,272,0.6985294117647058,0.20962991513609175,0.6105597203877094
2024,home_covers,lin_reg,normal_cdf,268,0.5223880597014925,0.25574788341633675,0.7059882660751136
2025,home_win,hgb_reg,simulate,272,0.6360294117647058,0.22185408227941178,0.6346746596800162
2025,home_covers,hgb_reg,simulate,271,0.4907749077490775,0.2646722818819188,0.7254873712862064
2025,home_win,hgb_reg,normal_cdf,272,0.6323529411764706,0.22176434787123234,0.6344766793495137
2025,home_covers,hgb_reg,normal_cdf,271,0.4944649446494465,0.2627742488816778,0.721000481215397
2025,home_win,lin_reg,simulate,272,0.6213235294117647,0.22340746738970588,0.6365215758457825
2025,home_covers,lin_reg,simulate,271,0.4354243542435424,0.27246900726937273,0.740788289161827
2025,home_win,lin_reg,normal_cdf,272,0.6176470588235294,0.2228091251054081,0.6351312207028631
2025,home_covers,lin_reg,normal_cdf,271,0.42435424354243545,0.2694403332961435,0.7341332977449128
