test_season,target,model,pca,n,accuracy,brier,log_loss,n_components,n_features,variance_explained
2024,home_win,(PCA info),True,272,,,,23.0,33.0,0.9061647746352373
2024,home_win,hgb,False,272,0.6801470588235294,0.2155922330330054,0.6218922834339461,,,
2024,home_win,hgb,True,272,0.6948529411764706,0.2180068576067655,0.627327903792303,,,
2024,home_win,logreg,False,272,0.7022058823529411,0.2051256448071642,0.5993482986688629,,,
2024,home_win,logreg,True,272,0.6985294117647058,0.20602650452454363,0.6012665877444519,,,
2024,home_win,random_forest,False,272,0.6875,0.21044572786685134,0.6111267033034734,,,
2024,home_win,random_forest,True,272,0.7095588235294118,0.21431358181921373,0.6194597827298328,,,
2024,home_win,svm_rbf,False,272,0.6654411764705882,0.216961871486258,0.624456876024005,,,
2024,home_win,svm_rbf,True,272,0.6727941176470589,0.21934773244951622,0.6298355331259765,,,
2024,home_win,mlp,False,272,0.6213235294117647,0.22391157014159208,0.6391695012146267,,,
2024,home_win,mlp,True,272,0.6397058823529411,0.2230109800489722,0.6373574180506014,,,
2025,home_win,(PCA info),True,272,,,,23.0,33.0,0.9067507739063076
2025,home_win,hgb,False,272,0.6286764705882353,0.2267462654705841,0.6447288059925117,,,
2025,home_win,hgb,True,272,0.6176470588235294,0.22719786700788291,0.6459412588774706,,,
2025,home_win,logreg,False,272,0.6286764705882353,0.22436750600158675,0.6391050454534893,,,
2025,home_win,logreg,True,272,0.5992647058823529,0.2278430037005943,0.6466133359606685,,,
2025,home_win,random_forest,False,272,0.6360294117647058,0.22154044819724575,0.6329959988390423,,,
2025,home_win,random_forest,True,272,0.6102941176470589,0.22706131277455552,0.6448378309790895,,,
2025,home_win,svm_rbf,False,272,0.6139705882352942,0.22143595180048184,0.6328256269943753,,,
2025,home_win,svm_rbf,True,272,0.6029411764705882,0.2271825317870691,0.6454165623991402,,,
2025,home_win,mlp,False,272,0.6176470588235294,0.22332163790445292,0.637437679549127,,,
2025,home_win,mlp,True,272,0.6139705882352942,0.22849762965546686,0.6482707263031844,,,
2024,home_covers,(PCA info),True,268,,,,23.0,33.0,0.9063001113450534
2024,home_covers,hgb,False,268,0.48507462686567165,0.25189394554392325,0.6969547822182172,,,
2024,home_covers,hgb,True,268,0.47761194029850745,0.2508159767248104,0.6947810361329253,,,
2024,home_covers,logreg,False,268,0.4701492537313433,0.25198593889847437,0.6971484959746361,,,
2024,home_covers,logreg,True,268,0.48134328358208955,0.25121499012130155,0.6955853055351917,,,
2024,home_covers,random_forest,False,268,0.48880597014925375,0.25264914280860795,0.698469771485789,,,
2024,home_covers,random_forest,True,268,0.4925373134328358,0.25104075115088426,0.6952286184199659,,,
2024,home_covers,svm_rbf,False,268,0.48134328358208955,0.2506204902118419,0.6943875575324977,,,
2024,home_covers,svm_rbf,True,268,0.48880597014925375,0.2511951269211668,0.695540493649665,,,
2024,home_covers,mlp,False,268,0.48880597014925375,0.25055842181971827,0.6942646019886123,,,
2024,home_covers,mlp,True,268,0.5074626865671642,0.25047974493007275,0.6941075343150341,,,
2025,home_covers,(PCA info),True,271,,,,23.0,33.0,0.9068800673893641
2025,home_covers,hgb,False,271,0.5055350553505535,0.2500454364698782,0.6932439566971189,,,
2025,home_covers,hgb,True,271,0.5018450184501845,0.25010050692702435,0.6933482172117922,,,
2025,home_covers,logreg,False,271,0.4944649446494465,0.25087150947146397,0.6948957732157934,,,
2025,home_covers,logreg,True,271,0.4907749077490775,0.2506899563800746,0.694531403278078,,,
2025,home_covers,random_forest,False,271,0.5018450184501845,0.24984664058790643,0.6928425808752237,,,
2025,home_covers,random_forest,True,271,0.4833948339483395,0.2505150769209329,0.6941785428033164,,,
2025,home_covers,svm_rbf,False,271,0.5166051660516605,0.2507185715239989,0.6945893109180447,,,
2025,home_covers,svm_rbf,True,271,0.5129151291512916,0.25063539432772264,0.6944227503053285,,,
2025,home_covers,mlp,False,271,0.5166051660516605,0.24950875149936516,0.6921629792275602,,,
2025,home_covers,mlp,True,271,0.4870848708487085,0.25089284184490596,0.6949377362096495,,,
