test_season,target,feature_set,model,n,accuracy,brier,log_loss
2024,home_win,round3,hgb,272,0.6691176470588235,0.21738899648975696,0.6258656739461276
2025,home_win,round3,hgb,272,0.6433823529411765,0.22472562449757394,0.6400612859783754
2024,home_win,round3,logreg,272,0.7022058823529411,0.2051256448071642,0.5993482986688629
2025,home_win,round3,logreg,272,0.6286764705882353,0.22436750600158675,0.6391050454534893
2024,home_win,round4,hgb,272,0.6544117647058824,0.2181843616721637,0.6268917012377339
2025,home_win,round4,hgb,272,0.6580882352941176,0.22405234556166795,0.638731750788606
2024,home_win,round4,logreg,272,0.6985294117647058,0.20625146837260355,0.6021295175656705
2025,home_win,round4,logreg,272,0.6213235294117647,0.2239037157691621,0.6381139831007913
2024,home_covers,round3,hgb,268,0.4925373134328358,0.25130028558067785,0.695762297882977
2025,home_covers,round3,hgb,271,0.5239852398523985,0.2502450618886015,0.6936395053709804
2024,home_covers,round3,logreg,268,0.4701492537313433,0.25198593889847437,0.6971484959746361
2025,home_covers,round3,logreg,271,0.4944649446494465,0.25087150947146397,0.6948957732157934
2024,home_covers,round4,hgb,268,0.48880597014925375,0.25161726343615914,0.6963955051153807
2025,home_covers,round4,hgb,271,0.4833948339483395,0.2501678447475679,0.6934825871995384
2024,home_covers,round4,logreg,268,0.458955223880597,0.2518153375126091,0.6968070210966373
2025,home_covers,round4,logreg,271,0.4981549815498155,0.25101915209623976,0.6951925508215282
