test_season,target,strategy,n,accuracy,brier,log_loss
2024,home_win,raw,272,0.6727941176470589,0.2158004658625845,0.6224232330186178
2024,home_win,pca,272,0.6580882352941176,0.21762609482339984,0.625977769181822
2024,home_win,l1,272,0.6911764705882353,0.21675947134039622,0.6240983303590135
2025,home_win,raw,272,0.6286764705882353,0.22677179327701136,0.6448829239140688
2025,home_win,pca,272,0.6102941176470589,0.22322890642596252,0.6363789055444977
2025,home_win,l1,272,0.6397058823529411,0.22755365556889695,0.6464315844470929
2024,home_covers,raw,268,0.48507462686567165,0.2528801693584451,0.698947128235286
2024,home_covers,pca,268,0.48880597014925375,0.2504068396867043,0.6939608556761916
2024,home_covers,l1,268,0.4925373134328358,0.25175583536317514,0.6966738880754347
2025,home_covers,raw,271,0.5129151291512916,0.2499016167655156,0.6929522839102633
2025,home_covers,pca,271,0.4907749077490775,0.249788945499842,0.6927238006443556
2025,home_covers,l1,271,0.47232472324723246,0.2511242469923135,0.6954032171081845
