bucket,n,surprise_range_mean,market_predicted_home_win,actual_home_win_rate,market_bias (predicted-actual)
"(-74.534, -18.864]",467,-30.311015156625434,0.5346483740563395,0.5203426124197003,0.014305761636639214
"(-18.864, -7.199]",467,-12.555683003648742,0.561245563226376,0.5653104925053534,-0.004064929278977392
"(-7.199, 3.527]",466,-1.655700052212928,0.5420606050111824,0.49356223175965663,0.04849837325152573
"(3.527, 16.0]",473,9.35998024174557,0.5604777366575834,0.5687103594080338,-0.008232622750450447
"(16.0, 80.288]",461,28.388980560292925,0.5584801326574438,0.5748373101952278,-0.016357177537783985
