config,n_features,complexity,pooled_acc,mean_acc,std_acc,min_acc,max_acc
AdaBoost (round4),41,3,0.6440406199893105,0.6434377083397934,0.03234896036702215,0.58984375,0.6911764705882353
"Margin regression, LogReg-style (round4)",41,5,0.6440406199893105,0.6439474140671029,0.02800251231725606,0.6213235294117647,0.7022058823529411
LogReg (round3),33,2,0.6397648316408338,0.6395178920276597,0.03618336944455895,0.5859375,0.7022058823529411
L1-selected HGB (round4),41,4,0.6392303580972741,0.6386799299978294,0.03485796496980182,0.58203125,0.6911764705882353
Random Forest (round3),33,3,0.6365579903794762,0.6365230074963565,0.031865400302660905,0.5955882352941176,0.6875
Naive Bayes (round4),41,2,0.6317477284874399,0.6317613530652115,0.03085543152726135,0.5955882352941176,0.6911764705882353
